index	a/B	a/c	n	E/Sys	W	B	Sys	E	a	2c																																						
0.60_0.60_6_150	0.60	0.60	6.00	150.0	10.0000	1.0000	1.00	150.00	0.6000	2.0000																																						
**	**	phi	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
step	stress	CMOD	J0	J2	J4	J6	J8	J10	J12	J14	J16	J18	J20	J22	J24	J26	J28	J30	J32	J34	J36	J38	J40	J42	J44	J46	J48	J50	J52	J54	J56	J58	J60	J62	J64	J66	J68	J70	J72	J74	J76	J78	J80	J82	J84	J86	J88	J90
1	1.1722e-01	2.2586e-03	1.3318e-01	1.3563e-01	1.3511e-01	1.3115e-01	1.2819e-01	1.2567e-01	1.2364e-01	1.2229e-01	1.2124e-01	1.2051e-01	1.2024e-01	1.2015e-01	1.2024e-01	1.2055e-01	1.2103e-01	1.2162e-01	1.2231e-01	1.2306e-01	1.2391e-01	1.2481e-01	1.2574e-01	1.2668e-01	1.2765e-01	1.2865e-01	1.2958e-01	1.3052e-01	1.3144e-01	1.3236e-01	1.3323e-01	1.3408e-01	1.3464e-01	1.3527e-01	1.3598e-01	1.3670e-01	1.3729e-01	1.3782e-01	1.3823e-01	1.3866e-01	1.3904e-01	1.3935e-01	1.3962e-01	1.3983e-01	1.4000e-01	1.4012e-01	1.4019e-01	1.4022e-01
2	2.3353e-01	4.5172e-03	4.7233e-01	5.0586e-01	5.1890e-01	5.0828e-01	4.9639e-01	4.8594e-01	4.7755e-01	4.7181e-01	4.6732e-01	4.6414e-01	4.6271e-01	4.6204e-01	4.6212e-01	4.6315e-01	4.6476e-01	4.6681e-01	4.6925e-01	4.7200e-01	4.7509e-01	4.7842e-01	4.8187e-01	4.8538e-01	4.8898e-01	4.9258e-01	4.9609e-01	4.9958e-01	5.0301e-01	5.0640e-01	5.0970e-01	5.1277e-01	5.1514e-01	5.1742e-01	5.2009e-01	5.2270e-01	5.2486e-01	5.2680e-01	5.2856e-01	5.3010e-01	5.3146e-01	5.3263e-01	5.3364e-01	5.3444e-01	5.3506e-01	5.3550e-01	5.3577e-01	5.3585e-01
3	3.4764e-01	6.7759e-03	9.5345e-01	1.0676e+00	1.1315e+00	1.1374e+00	1.1194e+00	1.1006e+00	1.0829e+00	1.0692e+00	1.0580e+00	1.0495e+00	1.0448e+00	1.0418e+00	1.0406e+00	1.0415e+00	1.0440e+00	1.0475e+00	1.0520e+00	1.0573e+00	1.0634e+00	1.0700e+00	1.0771e+00	1.0843e+00	1.0917e+00	1.0992e+00	1.1065e+00	1.1139e+00	1.1211e+00	1.1284e+00	1.1354e+00	1.1419e+00	1.1466e+00	1.1510e+00	1.1567e+00	1.1624e+00	1.1670e+00	1.1710e+00	1.1747e+00	1.1779e+00	1.1808e+00	1.1833e+00	1.1853e+00	1.1870e+00	1.1883e+00	1.1892e+00	1.1898e+00	1.1900e+00
4	4.5716e-01	9.0345e-03	1.5340e+00	1.7640e+00	1.9134e+00	1.9695e+00	1.9653e+00	1.9531e+00	1.9352e+00	1.9186e+00	1.9040e+00	1.8919e+00	1.8837e+00	1.8778e+00	1.8743e+00	1.8740e+00	1.8760e+00	1.8796e+00	1.8849e+00	1.8917e+00	1.8998e+00	1.9090e+00	1.9190e+00	1.9295e+00	1.9404e+00	1.9515e+00	1.9627e+00	1.9736e+00	1.9846e+00	1.9961e+00	2.0075e+00	2.0176e+00	2.0238e+00	2.0293e+00	2.0384e+00	2.0480e+00	2.0551e+00	2.0613e+00	2.0670e+00	2.0719e+00	2.0762e+00	2.0798e+00	2.0831e+00	2.0855e+00	2.0874e+00	2.0888e+00	2.0896e+00	2.0899e+00
5	5.5814e-01	1.1293e-02	2.1822e+00	2.5572e+00	2.8191e+00	2.9501e+00	2.9776e+00	2.9872e+00	2.9819e+00	2.9724e+00	2.9632e+00	2.9550e+00	2.9493e+00	2.9454e+00	2.9435e+00	2.9445e+00	2.9475e+00	2.9522e+00	2.9587e+00	2.9667e+00	2.9761e+00	2.9869e+00	2.9987e+00	3.0111e+00	3.0238e+00	3.0370e+00	3.0500e+00	3.0631e+00	3.0761e+00	3.0907e+00	3.1053e+00	3.1175e+00	3.1227e+00	3.1259e+00	3.1375e+00	3.1506e+00	3.1589e+00	3.1659e+00	3.1722e+00	3.1778e+00	3.1827e+00	3.1868e+00	3.1903e+00	3.1931e+00	3.1953e+00	3.1968e+00	3.1977e+00	3.1981e+00
6	6.4538e-01	1.3552e-02	2.8828e+00	3.4255e+00	3.8203e+00	4.0437e+00	4.1194e+00	4.1653e+00	4.1839e+00	4.1896e+00	4.1930e+00	4.1952e+00	4.1980e+00	4.2018e+00	4.2066e+00	4.2131e+00	4.2210e+00	4.2300e+00	4.2399e+00	4.2502e+00	4.2618e+00	4.2745e+00	4.2877e+00	4.3009e+00	4.3143e+00	4.3277e+00	4.3403e+00	4.3529e+00	4.3651e+00	4.3805e+00	4.3961e+00	4.4074e+00	4.4073e+00	4.4036e+00	4.4151e+00	4.4302e+00	4.4376e+00	4.4433e+00	4.4485e+00	4.4530e+00	4.4570e+00	4.4603e+00	4.4631e+00	4.4654e+00	4.4671e+00	4.4684e+00	4.4691e+00	4.4694e+00
7	7.1815e-01	1.5810e-02	3.6121e+00	4.3405e+00	4.8831e+00	5.2107e+00	5.3437e+00	5.4348e+00	5.4864e+00	5.5154e+00	5.5378e+00	5.5545e+00	5.5685e+00	5.5824e+00	5.5963e+00	5.6105e+00	5.6251e+00	5.6400e+00	5.6549e+00	5.6689e+00	5.6835e+00	5.6985e+00	5.7129e+00	5.7265e+00	5.7394e+00	5.7515e+00	5.7621e+00	5.7720e+00	5.7814e+00	5.7957e+00	5.8102e+00	5.8185e+00	5.8102e+00	5.7961e+00	5.8065e+00	5.8226e+00	5.8276e+00	5.8309e+00	5.8339e+00	5.8367e+00	5.8391e+00	5.8415e+00	5.8434e+00	5.8451e+00	5.8463e+00	5.8474e+00	5.8480e+00	5.8482e+00
8	7.7539e-01	1.8069e-02	4.3736e+00	5.3041e+00	6.0089e+00	6.4525e+00	6.6508e+00	6.7936e+00	6.8832e+00	6.9400e+00	6.9862e+00	7.0227e+00	7.0499e+00	7.0744e+00	7.0963e+00	7.1167e+00	7.1362e+00	7.1550e+00	7.1730e+00	7.1889e+00	7.2044e+00	7.2196e+00	7.2339e+00	7.2466e+00	7.2578e+00	7.2675e+00	7.2753e+00	7.2817e+00	7.2875e+00	7.2999e+00	7.3136e+00	7.3187e+00	7.3017e+00	7.2763e+00	7.2852e+00	7.3028e+00	7.3057e+00	7.3067e+00	7.3079e+00	7.3091e+00	7.3104e+00	7.3118e+00	7.3130e+00	7.3142e+00	7.3151e+00	7.3159e+00	7.3163e+00	7.3166e+00
9	8.1724e-01	2.0328e-02	5.1295e+00	6.2759e+00	7.1547e+00	7.7237e+00	7.9933e+00	8.1932e+00	8.3254e+00	8.4138e+00	8.4872e+00	8.5466e+00	8.5918e+00	8.6316e+00	8.6663e+00	8.6956e+00	8.7217e+00	8.7453e+00	8.7664e+00	8.7834e+00	8.7998e+00	8.8153e+00	8.8291e+00	8.8403e+00	8.8494e+00	8.8562e+00	8.8601e+00	8.8624e+00	8.8638e+00	8.8740e+00	8.8859e+00	8.8871e+00	8.8608e+00	8.8241e+00	8.8306e+00	8.8486e+00	8.8483e+00	8.8461e+00	8.8444e+00	8.8433e+00	8.8426e+00	8.8423e+00	8.8422e+00	8.8424e+00	8.8427e+00	8.8430e+00	8.8431e+00	8.8432e+00
10	8.5240e-01	2.2586e-02	5.8660e+00	7.2367e+00	8.2969e+00	8.9976e+00	9.3438e+00	9.6054e+00	9.7841e+00	9.9077e+00	1.0012e+01	1.0098e+01	1.0164e+01	1.0223e+01	1.0274e+01	1.0316e+01	1.0352e+01	1.0384e+01	1.0412e+01	1.0433e+01	1.0452e+01	1.0469e+01	1.0484e+01	1.0494e+01	1.0502e+01	1.0506e+01	1.0507e+01	1.0505e+01	1.0503e+01	1.0511e+01	1.0520e+01	1.0517e+01	1.0481e+01	1.0432e+01	1.0436e+01	1.0454e+01	1.0451e+01	1.0445e+01	1.0440e+01	1.0437e+01	1.0434e+01	1.0432e+01	1.0431e+01	1.0430e+01	1.0429e+01	1.0429e+01	1.0429e+01	1.0429e+01
11	8.8199e-01	2.4845e-02	6.5903e+00	8.1922e+00	9.4392e+00	1.0276e+01	1.0703e+01	1.1030e+01	1.1259e+01	1.1421e+01	1.1559e+01	1.1674e+01	1.1765e+01	1.1845e+01	1.1915e+01	1.1973e+01	1.2023e+01	1.2067e+01	1.2104e+01	1.2132e+01	1.2155e+01	1.2175e+01	1.2191e+01	1.2201e+01	1.2207e+01	1.2210e+01	1.2207e+01	1.2201e+01	1.2194e+01	1.2199e+01	1.2206e+01	1.2197e+01	1.2150e+01	1.2089e+01	1.2090e+01	1.2107e+01	1.2100e+01	1.2090e+01	1.2082e+01	1.2075e+01	1.2070e+01	1.2066e+01	1.2064e+01	1.2062e+01	1.2060e+01	1.2059e+01	1.2059e+01	1.2059e+01
12	9.0742e-01	2.7103e-02	7.3087e+00	9.1460e+00	1.0585e+01	1.1562e+01	1.2073e+01	1.2470e+01	1.2752e+01	1.2954e+01	1.3128e+01	1.3274e+01	1.3390e+01	1.3493e+01	1.3583e+01	1.3658e+01	1.3724e+01	1.3780e+01	1.3828e+01	1.3864e+01	1.3893e+01	1.3918e+01	1.3936e+01	1.3947e+01	1.3952e+01	1.3952e+01	1.3945e+01	1.3934e+01	1.3920e+01	1.3921e+01	1.3924e+01	1.3909e+01	1.3851e+01	1.3775e+01	1.3772e+01	1.3788e+01	1.3775e+01	1.3760e+01	1.3747e+01	1.3737e+01	1.3728e+01	1.3721e+01	1.3716e+01	1.3712e+01	1.3709e+01	1.3707e+01	1.3706e+01	1.3706e+01
13	9.2941e-01	2.9362e-02	8.0255e+00	1.0102e+01	1.1736e+01	1.2857e+01	1.3453e+01	1.3920e+01	1.4259e+01	1.4504e+01	1.4715e+01	1.4893e+01	1.5034e+01	1.5160e+01	1.5271e+01	1.5365e+01	1.5446e+01	1.5516e+01	1.5576e+01	1.5620e+01	1.5657e+01	1.5686e+01	1.5708e+01	1.5720e+01	1.5724e+01	1.5720e+01	1.5709e+01	1.5691e+01	1.5671e+01	1.5666e+01	1.5664e+01	1.5642e+01	1.5571e+01	1.5480e+01	1.5471e+01	1.5485e+01	1.5466e+01	1.5446e+01	1.5428e+01	1.5413e+01	1.5401e+01	1.5391e+01	1.5383e+01	1.5377e+01	1.5373e+01	1.5370e+01	1.5368e+01	1.5368e+01
14	9.4586e-01	3.1621e-02	8.7438e+00	1.1063e+01	1.2895e+01	1.4161e+01	1.4843e+01	1.5381e+01	1.5775e+01	1.6065e+01	1.6315e+01	1.6525e+01	1.6693e+01	1.6842e+01	1.6974e+01	1.7086e+01	1.7183e+01	1.7266e+01	1.7338e+01	1.7392e+01	1.7435e+01	1.7469e+01	1.7494e+01	1.7507e+01	1.7509e+01	1.7502e+01	1.7485e+01	1.7461e+01	1.7433e+01	1.7422e+01	1.7415e+01	1.7384e+01	1.7301e+01	1.7194e+01	1.7180e+01	1.7191e+01	1.7166e+01	1.7140e+01	1.7117e+01	1.7098e+01	1.7082e+01	1.7069e+01	1.7059e+01	1.7052e+01	1.7046e+01	1.7043e+01	1.7041e+01	1.7040e+01
15	9.5928e-01	3.3879e-02	9.4690e+00	1.2035e+01	1.4067e+01	1.5482e+01	1.6249e+01	1.6857e+01	1.7307e+01	1.7641e+01	1.7930e+01	1.8175e+01	1.8368e+01	1.8541e+01	1.8692e+01	1.8822e+01	1.8933e+01	1.9029e+01	1.9111e+01	1.9173e+01	1.9223e+01	1.9261e+01	1.9288e+01	1.9301e+01	1.9302e+01	1.9290e+01	1.9268e+01	1.9237e+01	1.9201e+01	1.9184e+01	1.9172e+01	1.9134e+01	1.9038e+01	1.8916e+01	1.8896e+01	1.8904e+01	1.8874e+01	1.8842e+01	1.8815e+01	1.8792e+01	1.8773e+01	1.8757e+01	1.8745e+01	1.8736e+01	1.8730e+01	1.8725e+01	1.8723e+01	1.8722e+01
16	9.7014e-01	3.6138e-02	1.0190e+01	1.3004e+01	1.5240e+01	1.6806e+01	1.7659e+01	1.8337e+01	1.8842e+01	1.9220e+01	1.9548e+01	1.9827e+01	2.0046e+01	2.0242e+01	2.0414e+01	2.0561e+01	2.0686e+01	2.0794e+01	2.0887e+01	2.0957e+01	2.1012e+01	2.1055e+01	2.1084e+01	2.1098e+01	2.1097e+01	2.1082e+01	2.1054e+01	2.1015e+01	2.0972e+01	2.0949e+01	2.0931e+01	2.0886e+01	2.0777e+01	2.0640e+01	2.0614e+01	2.0620e+01	2.0584e+01	2.0547e+01	2.0515e+01	2.0487e+01	2.0465e+01	2.0447e+01	2.0432e+01	2.0422e+01	2.0414e+01	2.0409e+01	2.0406e+01	2.0405e+01
